#detector,X,Y,usage,trap
s0045,1789894,603034,0 11 15 0 0,/bs
s0054c,1809245,592973,31 27 0 0 0,/rt
s0139,1812349,587174,31 0 27 79 0,/rt
s0145,1817733,567109,31 13 13 97 0,/rt
s0146,1816644,568290,0 30 0 0 0,/rt
s0150,1806202,542907,0 0 14 0 0,/bs
s0160,1816699,567629,0 13 0 0 0,/rt
s0161,1815651,569554,0 30 0 0 0,/rt
s0194,1783696,568908,0 0 30 0 0,/rt
s0239,1815826,569491,0 13 0 0 0,/rt
s0240,1816709,567862,0 30 0 0 0,/rt
s0257,1806223,598212,0 11 15 22 0,/bs
s0301,1784711,571160,0 0 30 58 0,/rt
s0302,1784321,570999,0 0 30 0 0,/rt
s0303,1783846,570799,0 0 30 0 0,/rt
s0304,1783853,570766,0 0 30 0 0,/rt
s0305,1783820,570516,0 0 30 58 0,/rt
s0306,1783672,568960,0 0 30 58 0,/rt
s0307,1783407,567201,0 0 30 64 0,/rt
s0308,1783846,566260,0 0 30 58 0,/rt
s0310,1783843,565432,0 0 30 64 0,/rt
s0311,1783910,564953,0 0 30 64 0,/rt
s0312,1784127,563671,0 0 30 58 0,/rt
s0313,1783583,563025,0 0 30 0 0,/rt
s0314,1782953,561357,0 0 30 0 0,/rt
s0315,1783809,565696,0 0 30 0 0,/rt
s0316,1784337,563826,0 0 30 0 0,/rt
s0317,1783828,565553,0 0 30 0 0,/rt
s0323,1783822,570593,0 0 30 0 0,/rt
s0347,1793797,590493,0 0 0 31 0,/rt
s0348,1793771,590493,0 0 0 31 0,/rt
s0349,1793619,590503,0 0 0 31 0,/rt
s0350,1792703,590613,0 0 0 31 0,/rt
s0352,1792669,590604,0 0 0 31 0,/rt
s0353,1792301,590712,0 0 0 31 0,/rt
s0354,1791604,591206,0 0 0 31 0,/rt
s0355,1791294,591554,0 0 0 31 0,/rt
s0356,1791154,591700,0 0 0 31 0,/rt
s0357,1790476,592417,0 0 0 31 0,/rt
s0358,1789940,594591,0 0 0 31 0,/rt
s0359,1790317,592874,0 0 0 31 0,/rt
s0360,1790567,592183,0 0 0 56 0,/rt
s0361,1791427,591348,0 0 0 56 0,/rt
s0370,1784568,571188,0 0 30 0 0,/rt
s0371,1783794,570442,0 0 0 31 0,/rt
s0372,1783678,568806,0 0 30 58 0,/rt
s0402,1802775,574989,0 13 15 0 0,/bs
s0403,1806531,581218,31 13 14 96 0,/rt
s0404,1795634,542661,0 12 15 49 0,/rt
s0414,1803536,574439,0 0 15 96 0,/rt
s0415,1803154,574312,0 13 15 96 0,/rt
s0462,1787054,616489,0 11 12 0 0,/bs
s0470,1785793,595797,0 0 0 31 0,/rt
s0471,1789358,595777,0 0 0 56 0,/rt
s0485,1784749,595206,0 0 0 31 0,/rt
s0486,1783892,570944,0 0 0 31 0,/rt
s0487,1783673,568767,0 0 0 31 0,/rt
s0488,1784343,563823,0 0 0 31 0,/rt
